ref,manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin,cocoa_percent,number_of_ingredients,ingredients,rating,characteristics,Characteristics 2,Characteristics 3,,
135,Neuhaus (Callebaut),Belgium,2007,Blend,Dark,0.73,5," B,S,C,V,L",1,pastey, strong off flavor,,,
147,Valrhona,France,2007,Blend,Le Noir Extra Amer,0.85,5," B,S,C,V,L",1.5,creamy, fatty, very bitter,,
887,Middlebury,U.S.A.,2012,Blend,Houseblend,0.65,4," B,S*,C,Sa",1.5,chemical, salt, wtf,,
259,Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,Pichincha,0.91,4," B,S,C,L",1.5,klingy, hint of fruit, very bitter,,
693,Snake & Butterfly,U.S.A.,2011,Ghana,Ghana,0.67,3," B,S,C",1.5,perfume, strong chemical,,,
63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,0.7,3," B,S,L",1.5,acidic, astringent, unpleasant,,
363,Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,0.72,3," B,S,C",1.75,cocoa, dominate off note,,,
1716,TCHO,U.S.A.,2016,Blend,West Africa,0.62,5," B,S,C,V,L",2,strong vanilla, sweet, fatty,,
56,Scharffen Berger,U.S.A.,2006,Jamaica,Jamaica a l'ancienne,0.7,5," B,S,C,V,L",2,fresh nibs,chocolate base off,,,
40,Scharffen Berger,U.S.A.,2006,Blend,"Kumasi Sambirano, Ghana & Madagascar",0.68,5," B,S,C,V,L",2,fruity, smokey, burnt,,
15,Scharffen Berger,U.S.A.,2006,Blend,Extra Dark,0.82,5," B,S,C,V,L",2,dry, bitter, poor aftertaste,,
5,Jacque Torres,U.S.A.,2006,Ghana,Trinatario Treasure,0.71,5," B,S,C,V,L",2,gritty, unrefined, off notes,,
105,Felchlin,Switzerland,2006,Blend,Supremo- SF,0.62,5," B,S,C,V,L",2,malitol, cocoa,,,
431,Ki' Xocolatl,Mexico,2009,Mexico,Dark,0.72,5," B,S,C,V,L",2,sweet, vanilla domintates, nut,,
300,Cacao Barry,France,2008,Tanzania,Tanzania,0.75,5," B,S,C,V,L",2,dry, flat flavor, astringent,,
141,Cacao Barry,France,2007,Venezuela,Venezuela,0.72,5," B,S,C,V,L",2,sandy, dairy, cocoa,,
32,Santander (Compania Nacional),Colombia,2006,Colombia,Colombian Semi Dark,0.53,5," B,S,C,V,L",2,too sweet, candy-like,,,
688,Olivia,Canada,2011,Blend,Carribean-Raw,0.76,5," B,S,C,V,L",2,intense, medicinal, leathery,,
15,Neuhaus (Callebaut),Belgium,2006,Blend,West Africa,0.73,5," B,S,C,V,L",2,non descript, poor aftertaste,,,
414,Escazu,U.S.A.,2009,Costa Rica,Guapiles,0.65,4," B,S,C,V",2,sticky, slight plum, medicinal,,
821,Tejas,U.S.A.,2012,Peru,Capistrano,0.7,4," B,S,C,V",2,perfume, chemical, soapy,,
713,Shark's,U.S.A.,2011,U.S.A.,"Hawai'i Island, Hilo",0.73,4," B,S,C,V",2,sticky, earthy, medicinal,,
